"activity_name" "name" "type" "domain" "direction" "average"
"WALKING_UPSTAIRS" "bodyaccelerationjerk" "mean" "time" "y" 0.00875888964679404
"WALKING_UPSTAIRS" "bodyaccelerationjerk" "mean" "time" "z" -0.00600953398545337
"WALKING_UPSTAIRS" "bodyaccelerationjerk" "std" "frequency" "x" -0.388992761276127
"WALKING_UPSTAIRS" "bodyaccelerationjerk" "std" "frequency" "y" -0.357632925658886
"WALKING_UPSTAIRS" "bodyaccelerationjerk" "std" "frequency" "z" -0.661590843134715
"WALKING_UPSTAIRS" "bodyaccelerationjerk" "std" "time" "x" -0.360863432417876
"WALKING_UPSTAIRS" "bodyaccelerationjerk" "std" "time" "y" -0.339226496686328
"WALKING_UPSTAIRS" "bodyaccelerationjerk" "std" "time" "z" -0.627063649764249
"WALKING_UPSTAIRS" "bodyaccelerationjerkmagnitude" "mean" "time" "None" -0.390938624541516
"WALKING_UPSTAIRS" "bodyaccelerationjerkmagnitude" "std" "time" "None" -0.385400351575259
"WALKING_UPSTAIRS" "bodyaccelerationmagnitude" "mean" "frequency" "None" -0.26202811322658
"WALKING_UPSTAIRS" "bodyaccelerationmagnitude" "mean" "time" "None" -0.100204123946392
"WALKING_UPSTAIRS" "bodyaccelerationmagnitude" "std" "frequency" "None" -0.361753456901554
"WALKING_UPSTAIRS" "bodyaccelerationmagnitude" "std" "time" "None" -0.249875157023391
"WALKING_UPSTAIRS" "bodyangularacceleration" "mean" "frequency" "x" -0.394248174023122
"WALKING_UPSTAIRS" "bodyangularacceleration" "mean" "frequency" "y" -0.45925346898967
"WALKING_UPSTAIRS" "bodyangularacceleration" "mean" "frequency" "z" -0.296857721646179
"WALKING_UPSTAIRS" "bodyangularacceleration" "mean" "time" "x" 0.00682449600215674
"WALKING_UPSTAIRS" "bodyangularacceleration" "mean" "time" "y" -0.0885225289752966
"WALKING_UPSTAIRS" "bodyangularacceleration" "mean" "time" "z" 0.0598938080367487
"WALKING_UPSTAIRS" "bodyangularacceleration" "std" "frequency" "x" -0.49525397668763
"WALKING_UPSTAIRS" "bodyangularacceleration" "std" "frequency" "y" -0.29318182767215
"WALKING_UPSTAIRS" "bodyangularacceleration" "std" "frequency" "z" -0.292041341940868
"WALKING_UPSTAIRS" "bodyangularacceleration" "std" "time" "x" -0.46760713827921
"WALKING_UPSTAIRS" "bodyangularacceleration" "std" "time" "y" -0.344231806672079
"WALKING_UPSTAIRS" "bodyangularacceleration" "std" "time" "z" -0.237136760675842
"WALKING_UPSTAIRS" "bodyangularaccelerationjerk" "mean" "time" "x" -0.112117464583562
"WALKING_UPSTAIRS" "bodyangularaccelerationjerk" "mean" "time" "y" -0.0386192672141386
"WALKING_UPSTAIRS" "bodyangularaccelerationjerk" "mean" "time" "z" -0.0525810278118912
"WALKING_UPSTAIRS" "bodyangularaccelerationjerk" "std" "time" "x" -0.553132758357837
"WALKING_UPSTAIRS" "bodyangularaccelerationjerk" "std" "time" "y" -0.667339157124352
"WALKING_UPSTAIRS" "bodyangularaccelerationjerk" "std" "time" "z" -0.560989210937073
"WALKING_UPSTAIRS" "bodyangularaccelerationjerkmagnitude" "mean" "time" "None" -0.608047148013666
"WALKING_UPSTAIRS" "bodyangularaccelerationjerkmagnitude" "std" "time" "None" -0.666836734071891
"WALKING_UPSTAIRS" "bodyangularaccelerationmagnitude" "mean" "time" "None" -0.178281147518361
"WALKING_UPSTAIRS" "bodyangularaccelerationmagnitude" "std" "time" "None" -0.337142124176179
"WALKING_UPSTAIRS" "bodybodyaccjerkmag" "mean" "frequency" "None" -0.353961999926425
"WALKING_UPSTAIRS" "bodybodyaccjerkmag" "std" "frequency" "None" -0.434206731972435
"WALKING_UPSTAIRS" "bodybodygyrojerkmag" "mean" "frequency" "None" -0.658694456439443
"WALKING_UPSTAIRS" "bodybodygyrojerkmag" "std" "frequency" "None" -0.703083532121114
"WALKING_UPSTAIRS" "bodybodygyromag" "mean" "frequency" "None" -0.449781382648834
"WALKING_UPSTAIRS" "bodybodygyromag" "std" "frequency" "None" -0.381406363802979
"WALKING_UPSTAIRS" "gravityacceleration" "mean" "time" "x" 0.875003375958549
"WALKING_UPSTAIRS" "gravityacceleration" "mean" "time" "y" -0.281377193548575
"WALKING_UPSTAIRS" "gravityacceleration" "mean" "time" "z" -0.14079566587547
"WALKING_UPSTAIRS" "gravityacceleration" "std" "time" "x" -0.948191332253886
"WALKING_UPSTAIRS" "gravityacceleration" "std" "time" "y" -0.925549271962435
"WALKING_UPSTAIRS" "gravityacceleration" "std" "time" "z" -0.901905618180052
"WALKING_UPSTAIRS" "gravityaccelerationmagnitude" "mean" "time" "None" -0.100204123946392
"WALKING_UPSTAIRS" "gravityaccelerationmagnitude" "std" "time" "None" -0.249875157023391
